,id,biskvit_id,short_name,address,city,scheduleFl,scheduleJurl,latitude,longitude,vip_zone,vip_office,ramp,person,juridical,prime,broker,ibs
10,29000292,4127,ДО «Полянка» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Большая Полянка, д. 30",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.734202,37.618866,1,0,1,1,1,0,1,1
11,28000001,5572,ДО «Бродников» Филиала № 7777 Банка ВТБ (ПАО),"г. Москва, Бродников пер., д. 4",Москва,пн-пт: 09:30-20:00 сб: 09:30-16:00 вс: выходной,Не обслуживает ЮЛ,55.737446,37.617959,0,0,0,1,0,1,0,1
12,29000138,2429,ДО «Центральный» в г. Москве Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Кузнецкий Мост, д. 17, стр. 1",Москва,"пн-пт: 09:00-20:00 сб, вс: выходной","пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.762272,37.624822,0,0,1,1,1,0,0,1
13,29000179,3700,ДО Кредитный центр «Марксистский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Марксистская, д.5, стр.1",Москва,пн-пт: 09:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.737182,37.663952,1,0,1,1,1,0,1,1
14,29000180,2900,ДО «Ломоносовский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинский пр-т, д. 69",Москва,"пн-пт: 09:00-19:00 сб, вс: выходной","пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.690374,37.550657,1,0,0,1,1,0,1,0
15,29000054,1110,ДО «Мосфильмовский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Мосфильмовская, д. 70",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной",Не обслуживает ЮЛ,55.71518,37.506612,0,0,0,1,0,0,0,0
16,29000058,0510,ДО «Крылатское» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Осенний бульвар, д. 7, кор. 1",Москва,пн-пт: 10:00-20:00 сб: 10:00-17:00 вс: выходной,Не обслуживает ЮЛ,55.757794,37.406944,1,0,1,1,0,0,1,0
17,29000043,5003,ДО «На Лавочкина» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Лавочкина, д. 34",Москва,"пн-пт: 10:00-20:00 сб, вс: 10:00-17:00",Не обслуживает ЮЛ,55.856341,37.493847,0,0,1,1,0,0,0,1
18,29000171,1800,ДО «Вешняки» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Вешняковская, д. 20Б",Москва,пн-пт: 10:00-20:00 сб: 10:00-17:00 вс: 10:00-15:00,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.721204,37.823062,1,0,1,1,1,0,1,0
19,29000107,2827,ДО «Митинский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Митинская, д. 35",Москва,пн-пт: 10:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.848013,37.355201,1,0,1,1,1,0,1,0
20,29000173,2200,ДО «На Рижской» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, пр-т Мира, д. 76, стр. 1",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.790712,37.635179,1,0,1,1,1,0,1,1
21,29000231,4225,ДО «Ростелеком» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Гончарная, д. 30, стр.1",Москва,"пн-пт: 09:00-18:00 сб, вс: выходной",Не обслуживает ЮЛ,55.742428,37.647468,0,0,0,1,0,0,0,0
22,29000089,5210,ДО «ГУМ» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Красная площадь, д. 3",Москва,пн-вс: 10:00-22:00,Не обслуживает ЮЛ,55.75474,37.621408,1,0,1,1,0,0,1,1
23,29000213,1625,ДО «На Мытной» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Мытная, д. 7, стр. 1",Москва,"пн-пт: 09:00-20:00 cб, вс: выходной",Не обслуживает ЮЛ,55.722142,37.618569,0,1,1,1,0,0,1,1
24,29000299,2325,ДО «Новоясеневский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Новоясеневский пр-т, д. 9",Москва,пн-пт: 09:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.608816,37.535412,1,0,1,1,1,0,1,1
25,29000229,4803,ДО «Георгиевский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Георгиевский пер., д. 2",Москва,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",Не обслуживает ЮЛ,55.758478,37.614734,0,0,0,1,0,0,0,0
26,17000003,5328,ДО «Кутузовский» Филиала в г. Москве,"г. Москва, пл. Победы, д. 2, корп. 2",Москва,Не обслуживает ФЛ,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.737507,37.51838,0,0,0,0,1,0,0,0
27,17000004,5325,ДО «Бродников переулок» Филиала в г. Москве,"г. Москва, Бродников пер., д. 4",Москва,Не обслуживает ФЛ,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.737446,37.617959,0,0,0,0,1,0,0,0
28,17000006,5425,ДО «Лубянский» Филиала в г. Москве,"г. Москва, ул. Большая Лубянка, д. 16, стр. 1",Москва,Не обслуживает ФЛ,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.762936,37.628846,0,0,0,0,1,0,0,0
29,28000006,5872,ДО «Лермонтовский» Филиала № 7777 Банка ВТБ (ПАО),"г. Москва, Красноворотский пр-д, д. 3",Москва,пн-пт: 09:30-20:00 сб: 09:30-16:00 вс: выходной,Не обслуживает ЮЛ,55.770882,37.649552,0,0,1,1,0,1,0,0
30,29000289,2427,ДО «Ленинградский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинградский пр-т, д. 65, стр. 1",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.802912,37.518892,1,0,1,1,1,0,1,1
31,29000300,2000,ДО Кредитный центр «Зубовский бульвар» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Зубовский бульвар, д. 27/26, стр. 1",Москва,"пн-пт: 09:00-20:00 сб, вс: выходной","пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.7366,37.588099,1,0,1,1,1,0,1,1
